,browserFamily,deviceCategory,geoCountryName,isMobile,label,lastActionMapId,lastActionType,numberOfEvents,vid,visitRefDomain,TIMESTAMP
1097,Mobile Safari,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,30,5a958c1100252a2249b0a00e,,1530640830
1098,Chrome,Desktop,United Kingdom,False,False,cj5jtrt1okxt307pq291vszzx,im,19,5a4f5d3600252a220e80d42c,google.co.uk,1530640830
1099,IE,Desktop,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,5,5ae1f63a00252a2272bc6d75,,1530640830
1100,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,32,5a788e5b00252a222cc3eb3c,,1530640830
1101,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,15,5a9ddd2800252a221ee6cec1,,1530640830
1102,Chrome Mobile,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,10,5a7adf4000252a221d0c3ec3,google.ie,1530640830
1103,Chrome,Desktop,Ireland,False,True,NO-ACTION,NO-ACTION,2,5a675ede00252a2228eaedde,,1530640830
1104,Chrome Mobile,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,7,5aa0484200252a223593019f,google.ie,1530640830
1105,Chrome Mobile,Mobile,Ireland,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,49,5acb64ce00252a2215e56b1b,google.ie,1530640830
1106,Mobile Safari,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,15,5aba30f600252a223326882f,,1530640830
1107,Chrome Mobile,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,4,5ae2e77600252a2276c291dd,android.googlequicksearchbox,1530640830
1108,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,12,5a7ea68600252a220a551455,,1530640830
1109,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,14,5a8bfb9800252a226ec834f1,,1530640830
1110,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,27,5ad6035300252a22511e4fad,,1530640830
1111,Mobile Safari,Mobile,Ireland,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,24,5a9e681500252a222c46ae52,google.ie,1530640830
1112,Chrome Mobile iOS,Mobile,Ireland,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,28,5acca2df00252a222b41cc5c,,1530640830
1113,Chrome,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,30,5a959c9200252a2260c74454,google.ie,1530640830
1114,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a88525d00252a223c8e2c7d,,1530640830
1115,Mobile Safari,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,13,5ab0448300252a222183e77b,google.ie,1530640830
1116,Mobile Safari,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,6,5a5fb43900252a225ba34bf9,google.ie,1530640830
1117,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,14,5a87f80a00252a226720e719,,1530640830
1118,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,23,5aa2c92a00252a227e04bdb3,,1530640830
1119,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,18,5a7370d600252a2212daf68f,,1530640830
1120,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,40,5ad1d18300252a2245dd1b3a,,1530640830
1121,Chrome Mobile,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,19,5a8ade7500252a2215fd37d4,google.ie,1530640830
1122,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,28,5a73774500252a223633e1c9,,1530640830
1123,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,16,5a7ae5f900252a2218edb6f9,,1530640830
1124,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,24,5a6b221100252a226dc37ac6,,1530640830
1125,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,26,5a58c97300252a2230943450,,1530640830
1126,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,31,5ad5ff0900252a2220b75e80,,1530640830
1127,Firefox,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,52,5abb708f00252a2268e2b735,google.ie,1530640830
1128,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,55,5ad748f000252a22094fe5b7,,1530640830
1129,IE,Desktop,Ireland,False,False,cj5sd7warvddy07oc8uiw6zlt,im,79,5a7872ac00252a223a9515ce,,1530640830
1130,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,20,5a550c9c00252a22438c4421,,1530640830
1131,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,29,5aa3faec00252a2275ca0c4d,,1530640830
1132,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,25,5a71b05300252a222a248869,,1530640830
1133,Chrome,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,75,5a9041a500252a22401e0399,google.ie,1530640830
1134,Chrome,Desktop,United Kingdom,False,False,ciqwehb936dwp01qirwyhd0i3,im,12,5aab998406af409669460932,,1530640830
1135,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,29,5a53a11400252a224dfa8e33,,1530640830
1136,IE,Desktop,Ireland,False,False,cj5sd7warvddy07oc8uiw6zlt,im,2,5aaa9ebc00252a22469fe53d,,1530640830
1137,IE,Desktop,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,6,5a8eeb2300252a225709d4e3,google.ie,1530640830
1138,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,16,5a79bceb00252a22094328fd,,1530640830
1139,Chrome,Other,Ireland,False,False,cj5sd7warvddy07oc8uiw6zlt,im,6,5a676b7100252a22411c6cae,bankofireland.com,1530640830
1140,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,17,5aa143b000252a2236a0bfd7,,1530640830
1141,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,30,5ae6e4e200252a226ceedbd2,,1530640830
1142,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,17,5a8d60d500252a221803046c,,1530640830
1143,Chrome,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,35,5aa7ad7c00252a225f3d59f8,,1530640830
1144,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,56,5ad4eac300252a2222137863,,1530640830
1145,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,16,5a6a2bf600252a22630a22ec,,1530640830
1146,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,15,5a9ed0fa00252a221ff5a4bd,,1530640830
1147,Chrome,Desktop,United Kingdom,False,False,ciqwehb936dwp01qirwyhd0i3,im,13,5a70bddf00252a2216044b8b,google.co.uk,1530640830
1148,Chrome,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,32,5a9547cc00252a2235caf753,google.ie,1530640830
1149,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,59,5ad4c09b00252a22187811dc,,1530640830
1150,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,40,5ace4fe600252a2219691706,,1530640830
1151,Chrome Mobile,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,4,5acd5acc00252a22194c9409,365online.com,1530640830
1152,Mobile Safari,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,27,5ab245ab00252a220c0d8152,bankofireland.com,1530640830
1153,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,14,5aa52a7200252a227245afb5,,1530640830
1154,Chrome Mobile,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,80,5ab911dc00252a2265d0deba,google.ie,1530640830
1155,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,14,5a56493000252a22479bb287,,1530640830
1156,Mobile Safari,Mobile,Ireland,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,23,5a6a318400252a225131b81e,google.ie,1530640830
1157,Samsung Internet,Mobile,Ireland,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,11,5ac7689600252a2221ab4aaa,,1530640830
1158,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,43,5ae1b53900252a22148c280d,,1530640830
1159,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,26,5a4d1bdf00252a2275bdcce8,,1530640830
1160,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,65,5ad1179500252a2219f96dfa,,1530640830
1161,Chrome,Desktop,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,15,5a5768dc00252a224fae4f25,365online.com,1530640830
1162,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,23,5a6c79b200252a221433b82d,,1530640830
1163,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,35,5ae60d6e00252a2265f3fa13,,1530640830
1164,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,26,5ae33c3100252a221370ac91,,1530640830
1165,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,26,5ad9e12700252a223649cd04,,1530640830
1166,Mobile Safari,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,21,5ae73b8300252a222638d2ee,,1530640830
1167,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,44,5ae7771700252a224f4f5082,,1530640830
1168,Chrome Mobile,Mobile,Ireland,True,False,cjawivamo545707qylvkasw8v,im,30,5a845f7e00252a222ca31a39,google.ie,1530640830
1169,Mobile Safari,Tablet,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,6,5a8b38b300252a2210cfd363,google.com,1530640830
1170,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,20,5ad7231700252a223bb0c711,,1530640830
1171,Chrome Mobile,Mobile,Belgium,True,True,NO-ACTION,NO-ACTION,13,5a51575a00252a2259484560,,1530640830
1172,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,20,5a9fc1e100252a2254ddf2f8,,1530640830
1173,Chrome,Desktop,Ireland,False,True,NO-ACTION,NO-ACTION,2,5a74790800252a226b182408,,1530640830
1174,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,15,5a9139e500252a221ab71a53,,1530640830
1175,IE,Desktop,Ireland,False,False,cj5sd7warvddy07oc8uiw6zlt,im,45,5a87150e00252a2208994e64,bankofireland.com,1530640830
1176,Chrome,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,41,5aa11b5800252a222651c6f2,google.ie,1530640830
1177,Mobile Safari UI/WKWebView,Mobile,United Kingdom,True,True,NO-ACTION,NO-ACTION,13,5a4e35f100252a224e29ea6d,,1530640830
1178,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a74a53600252a2222827551,,1530640830
1179,IE,Desktop,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,15,5a7c19da00252a227a746a20,,1530640830
1180,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,17,5a4b4aa500252a2210917d22,,1530640830
1181,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,34,5a4bd0c300252a221481b734,,1530640830
1182,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,33,5adf674f00252a2233d6bb58,,1530640830
1183,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,19,5a5a8ef300252a2220ac5b3e,,1530640830
1184,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,19,5a4f426e00252a223f441844,,1530640830
1185,Mobile Safari,Mobile,United Kingdom,True,False,ciqwehb936dwp01qirwyhd0i3,im,21,5a67a18200252a22033b5960,google.co.uk,1530640830
1186,Safari,Desktop,Ireland,False,False,cj5sd7warvddy07oc8uiw6zlt,im,20,5ab93b3200252a2233d0c37b,,1530640830
1187,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,23,5a7e608d00252a222df133d2,,1530640830
1188,Chrome Mobile,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,58,5a744ce600252a223f0c2826,,1530640830
1189,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,15,5a6c6df800252a225acaad62,,1530640830
1190,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,15,5a5a3d9400252a224d7ef23c,,1530640830
1191,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,34,5aa3a74600252a2236ecb1b9,,1530640830
1192,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,15,5a4c545000252a2205e8c150,,1530640830
1193,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,25,5a8444c400252a22189a3332,,1530640830
1194,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,19,5aa6780e00252a2228ef40ea,,1530640830
1195,Chrome Mobile,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,6,5ae779e000252a2278afaeb2,google.ie,1530640830
1196,Firefox,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,24,5a58d17d00252a220f354e52,,1530640830
1197,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a6a1f0c00252a22154937a9,,1530640830
1198,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a881a1600252a2268a4cc45,,1530640830
1199,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5aa25f1100252a2207a18255,,1530640830
1200,Samsung Internet,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,12,5a4c1cb300252a2208699bfd,,1530640830
1201,Chrome,Desktop,Ireland,False,False,cjawivamo545707qylvkasw8v,im,51,5ab8ccd800252a222e7a9b2b,docusign.net,1530640830
1202,Chrome Mobile,Mobile,Ireland,True,False,cjawivamo545707qylvkasw8v,im,27,5a829cb900252a224fab896e,google.ie,1530640830
1203,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,33,5ad9ac0900252a221460d626,,1530640830
1204,Chrome,Desktop,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,20,5a64b4f000252a220d6876d3,google.co.uk,1530640830
1205,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,31,5a6505be00252a222ddb1b21,,1530640830
1206,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,16,5a4b9ccc00252a222c30d0ec,,1530640830
1207,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,41,5adcf59900252a2261ec7760,,1530640830
1208,Chrome,Desktop,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,26,5a93ec9500252a22390ecd21,google.ie,1530640830
1209,IE,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,10,5a8d766a00252a222a4380a2,,1530640830
1210,Mobile Safari,Tablet,Ireland,False,False,cj5sd7warvddy07oc8uiw6zlt,im,18,5ae7254500252a226194e0b8,,1530640830
1211,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,18,5a8156ab00252a22099b3bdf,,1530640830
1212,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,14,5a91a5aa00252a22441677eb,,1530640830
1213,Chrome,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,4,5ac349ad00252a2274ebcc19,365online.com,1530640830
1214,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a5a172700252a2246239b7a,,1530640830
1215,Chrome Mobile,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,4,5ac665ec00252a22603d90a3,google.com,1530640830
1216,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,19,5a7a053c00252a220cfe925d,,1530640830
1217,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a70786f00252a222eb9af61,,1530640830
1218,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,23,5a723fc400252a2241deae39,,1530640830
1219,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,21,5aa68e6100252a2279870b33,,1530640830
1220,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,20,5a902fef00252a223b886bfe,,1530640830
1221,Chrome Mobile iOS,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,9,5a97fdb800252a2223edba4b,365online.com,1530640830
1222,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,15,5acd1ba000252a2228f15cbd,,1530640830
1223,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,19,5a8ca71500252a226639a0af,,1530640830
1224,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a9d4c5a00252a223bd0bdd0,,1530640830
1225,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,24,5a7f2cf900252a223c91fcb8,,1530640830
1226,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,45,5ad9fc2200252a22445c74ab,,1530640830
1227,IE,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,22,5ac72d1200252a227fcad2bf,,1530640830
1228,Chrome Mobile,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,5,5a796dde00252a2229ec629c,android.gm,1530640830
1229,Chrome,Desktop,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,4,5ae3ed0200252a227b8702b1,google.ie,1530640830
1230,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,23,5a59755a00252a2247ca9930,,1530640830
1231,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,65,5ad50f8600252a225c88f2d2,,1530640830
1232,IE,Desktop,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,7,5a8db93b00252a223a970b5f,google.ie,1530640830
1233,Mobile Safari,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,5,5a8d7db600252a224dca1501,google.ie,1530640830
1234,Samsung Internet,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,23,5a5c740c00252a2218839785,,1530640830
1235,Chrome,Desktop,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,15,5aa66f0c00252a222458e0ab,google.ie,1530640830
1236,Chrome Mobile,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,22,5a8c589200252a22706c24a7,bankofireland.com,1530640830
1237,IE,Desktop,Switzerland,False,False,cjawivamo545707qylvkasw8v,im,36,5a781e2200252a227336abec,google.ie,1530640830
1238,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,14,5a5a5fe500252a221a9f34b0,,1530640830
1239,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,19,5a9bb95200252a220f39ed7e,,1530640830
1240,Chrome Mobile,Mobile,Ireland,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,16,5acdc61d00252a22763ac273,google.com,1530640830
1241,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,50,5a74cdbb00252a22195b79e4,,1530640830
1242,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,37,5a9e953300252a22354c8598,,1530640830
1243,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,14,5a625be800252a226b4868e2,,1530640830
1244,Edge,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,51,5a74653b00252a22614c3e0e,bankofireland.com,1530640830
1245,Edge,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,18,5aa6b1c800252a2275b4095c,googlesyndication.com,1530640830
1246,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,51,5ae16d2f00252a22152b9f95,,1530640830
1247,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,26,5ae0903b00252a2242964e2c,,1530640830
1248,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,14,5acddb8200252a223100bdce,,1530640830
1249,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,39,5ad21e0e00252a2271e6bc53,,1530640830
1250,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,39,5ad636be00252a227d366a10,,1530640830
1251,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,17,5a6b90bb00252a225822bdf0,,1530640830
1252,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,12,5a5c685600252a2208a0f735,,1530640830
1253,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,27,5aa6762300252a22323c8c4b,,1530640830
1254,Mobile Safari,Tablet,United States,False,False,ciqwehb936dwp01qirwyhd0i3,im,7,5a67674100252a22033f8744,google.com,1530640830
1255,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,16,5a5b30bb00252a22064532ef,,1530640830
1256,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,16,5a9f03ca00252a22724c4630,,1530640830
1257,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a9fe88d00252a227b6cdff4,,1530640830
1258,Edge,Desktop,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,17,5a78374b00252a22621fd2dd,google.ie,1530640830
1259,Chrome,Desktop,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,9,5ab24d4100252a227545e782,bankofireland.com,1530640830
1260,Chrome Mobile iOS,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,56,5a819a1200252a2224b07ffc,google.ie,1530640830
1261,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,17,5a830d1c00252a22040a7fe7,,1530640830
1262,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,18,5a7852de00252a225e3fc99f,,1530640830
1263,Chrome Mobile iOS,Mobile,Ireland,True,False,cjawivamo545707qylvkasw8v,im,40,5a819a7f06af409601d6b26f,google.ie,1530640830
1264,Mobile Safari,Mobile,Ireland,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,23,5a6ae7ce00252a224b6ec061,365online.com,1530640830
1265,Chrome,Desktop,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,41,5a4e125200252a226c60613c,,1530640830
1266,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a54a66600252a2261648a4a,,1530640830
1267,Mobile Safari,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,41,5a69a89300252a226c6703a8,google.ie,1530640830
1268,Chrome,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,8,5abb745f00252a226f269300,docusign.net,1530640830
1269,Chrome Mobile,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,6,5ab939c900252a224427746b,android.googlequicksearchbox,1530640830
1270,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,14,5a56546b00252a22790a6633,,1530640830
1271,Mobile Safari,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,4,5a730bc200252a221d50d8b5,google.ie,1530640830
1272,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,18,5a5f6fb500252a2215ddfae3,,1530640830
1273,Mobile Safari,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,8,5aa79cdf00252a2213b95762,google.ie,1530640830
1274,IE,Desktop,United States,False,False,cj5jtrt1okxt307pq291vszzx,im,22,5a55d98200252a2260757f8c,,1530640830
1275,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,17,5a66208d00252a221164d605,,1530640830
1276,Mobile Safari,Mobile,Ireland,True,False,cj3a8c1acdkkd07p7xnae45fr,im,34,5a4cf0d800252a220ee147e5,google.ie,1530640830
1277,Mobile Safari,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,5,5a65e42600252a2272a84538,google.ie,1530640830
1278,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,46,5ad052a400252a221c417be1,,1530640830
1279,Mobile Safari,Tablet,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,13,5aa7e67f00252a22333c0611,google.ie,1530640830
1280,Mobile Safari,Mobile,Ireland,True,False,cj5jtrt1okxt307pq291vszzx,im,21,5adf56ee00252a2225d85324,,1530640830
1281,Chrome,Desktop,Europe,False,False,cj5jtrt1okxt307pq291vszzx,im,35,5a5cb92500252a224cf7155d,365online.com,1530640830
1282,Chrome Mobile,Mobile,Ireland,True,False,cjawivamo545707qylvkasw8v,im,9,5a81d21600252a22577eb34f,,1530640830
1283,IE,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,45,5a54a26b00252a2261e7e44e,,1530640830
1284,Mobile Safari,Mobile,United Kingdom,True,False,ciqwehb936dwp01qirwyhd0i3,im,29,5a51718e00252a2233324de2,365online.com,1530640830
1285,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,48,5aa4edf400252a22016dd082,,1530640830
1286,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,19,5aa6769200252a226c1a829c,,1530640830
1287,Chrome,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,41,5a5c9dd400252a224b835106,google.ie,1530640830
1288,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,15,5a9d0a8400252a223fc5bfc6,,1530640830
1289,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,14,5a79dbe600252a2215af4377,,1530640830
1290,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,44,5ad9cd7400252a221b58394e,,1530640830
1291,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,26,5a7223e000252a224b1d941e,,1530640830
